ReqID,Core,WCLatency,Arrival_Time,Finish_Time
11611,2,228,134599,134827
11619,1,228,134713,134941
11620,2,228,134827,135055
11631,1,228,134941,135169
11624,2,228,135055,135283
11639,1,228,135169,135397
11655,2,228,135283,135511
11658,1,228,135397,135625
11671,2,228,135511,135739
11675,1,228,135625,135853
11678,2,228,135739,135967
11680,1,228,135853,136081
11681,2,228,135967,136195
11691,1,228,136081,136309
11685,2,228,136195,136423
11695,1,228,136309,136537
11699,2,228,136423,136651
11702,1,228,136537,136765
11717,2,228,136651,136879
11719,1,228,136765,136993
11722,2,228,136879,137107
11764,0,301,136919,137220
11724,1,342,136993,137335
11750,2,342,137107,137449
11790,0,342,137220,137562
11741,1,342,137335,137677
11824,2,342,137449,137791
11793,0,342,137562,137904
11745,1,342,137677,138019
11876,2,342,137791,138133
11797,0,342,137904,138246
11766,1,342,138019,138361
11915,2,342,138133,138475
11801,0,342,138246,138588
11779,1,342,138361,138703
11958,2,342,138475,138817
11950,0,342,138588,138930
11807,1,342,138703,139045
11977,2,342,138817,139159
11951,0,342,138930,139272
11858,1,342,139045,139387
12007,2,342,139159,139501
12002,0,342,139272,139614
11862,1,342,139387,139729
12045,2,342,139501,139843
12032,0,342,139614,139956
11913,1,342,139729,140071
12077,2,342,139843,140185
12035,0,342,139956,140298
11975,1,342,140071,140413
12103,2,342,140185,140527
12071,0,342,140298,140640
11997,1,342,140413,140755
12121,2,342,140527,140869
12075,0,342,140640,140982
12037,1,342,140755,141097
12154,2,342,140869,141211
12126,0,342,140982,141324
12041,1,342,141097,141439
12178,2,342,141211,141553
12136,0,342,141324,141666
12068,1,342,141439,141781
12211,2,342,141553,141895
12183,0,342,141666,142008
12119,1,342,141781,142123
12236,2,342,141895,142237
12193,0,342,142008,142350
12146,1,342,142123,142465
12265,2,342,142237,142579
12230,0,342,142350,142692
12170,1,342,142465,142807
12283,2,342,142579,142921
12234,0,342,142692,143034
12174,1,342,142807,143149
12322,2,342,142921,143263
12288,0,342,143034,143376
12201,1,342,143149,143491
12349,2,342,143263,143605
12298,0,342,143376,143718
12253,1,342,143491,143833
